faculty_name,faculty_code,department_name,department_code
Faculty of Applied Arts and Technology,FAAT,Ceramics Technology,CER
Faculty of Applied Arts and Technology,FAAT,Fashion Design and Technology,FDT
Faculty of Applied Arts and Technology,FAAT,Graphic Design Technology,GRD
Faculty of Applied Arts and Technology,FAAT,Industrial Painting and Design,IPD
Faculty of Applied Arts and Technology,FAAT,Sculpture Technology,SCU
Faculty of Applied Arts and Technology,FAAT,Textiles Design and Technology,TXT
Faculty of Applied Sciences,FAS,Hospitality Management,HOS
Faculty of Applied Sciences,FAS,Industrial and Health Science,IHS
Faculty of Applied Sciences,FAS,Computer Science,CSC
Faculty of Applied Sciences,FAS,"Mathematics, Statistics and Actuarial Science",MSA
Faculty of Applied Sciences,FAS,Tourism Management,TRM
Faculty of Built and Natural Environment,FBNE,Building Technologies,BLD
Faculty of Built and Natural Environment,FBNE,Construction Technology,CST
Faculty of Built and Natural Environment,FBNE,Estate Management,EST
Faculty of Built and Natural Environment,FBNE,Interior Design,INT
Faculty of Built and Natural Environment,FBNE,Real Estate,REL
Faculty of Built and Natural Environment,FBNE,Plumbing and Gas,PLG
Faculty of Business Studies,FOBS,Accounting and Finance,ACF
Faculty of Business Studies,FOBS,Marketing and Strategy,MKT
Faculty of Business Studies,FOBS,Logistics Management,LGM
Faculty of Business Studies,FOBS,Procurement and Supply Chain Management,PSM
Faculty of Business Studies,FOBS,Transport Management,TRN
Faculty of Business Studies,FOBS,Office Management / Secretaryship,OFT
Faculty of Engineering,FENG,Civil Engineering,CIV
Faculty of Engineering,FENG,Electrical and Electronic Engineering,EEE
Faculty of Engineering,FENG,Mechanical Engineering,MEC
Faculty of Engineering,FENG,Petroleum and Gas Engineering,PEG
Faculty of Engineering,FENG,Renewable Energy Engineering,REN
Faculty of Engineering,FENG,Process Engineering,PRC
Faculty of Engineering,FENG,Welding and Fabrication,WLD
Faculty of Health and Allied Sciences,FHAS,Health Sciences,HSC
Faculty of Health and Allied Sciences,FHAS,Laboratory Technology / Medical Technology,LAB
Faculty of Health and Allied Sciences,FHAS,Pharmacy,PHR
Faculty of Health and Allied Sciences,FHAS,Chemical Pathology / Histopathology / Immunology,CPI
Faculty of Maritime and Nautical Studies,FMNS,Marine Engineering,MEN
Faculty of Maritime and Nautical Studies,FMNS,Marine Transport,MTR
Faculty of Maritime and Nautical Studies,FMNS,Nautical Science,NAU
Faculty of Media Technology and Liberal Studies,FMTLS,Media and Communication Technology,MCT
Faculty of Media Technology and Liberal Studies,FMTLS,Liberal Studies / General Arts,LBS
